set I / 1*5 /;
set J / 1*10 /;

Parameter c(I) / 1 3, 2 4, 3 2, 4 3, 5 2/;

Table a(I,J)
	1	2	3	4	5	6	7	8	9   	10
1   	1.3 	2   	1.5 	1.9 	1.1 	2.1 	1   	1.3 	1.6 	0.9
2   	1   	0.8 	0.7 	1.1 	1   	1   	1   	1.2 	1.1 	0.95
3   	1.1 	3   	2   	3   	2.4 	1.6 	1.8 	2   	2.1 	2.2
4   	1   	1.1 	1.7 	0.8 	1	1.1   	1.3 	0.8 	3   	2.2
5   	2.1 	1.7 	2.3 	2   	2   	1.7 	3   	1   	1   	1.6
;

Table b(I,J)
	1	2	3	4	5	6	7	8	9   	10
1   	0	0	0	0	0	0	0	0	0	0
2   	0	0	0	0	0	0	0	0	0	0
3   	0	0	0	0	0	0	0	0	0	0
4   	0	0	0	0	0	0	0	0	0	0
5   	0	0	0	0	0	0	0	0	0	0
;
