set I / 1*10 /;
set J / 1*10 /;

Parameter c(I) / 1 3, 2 4, 3 2, 4 3, 5 2, 6 1, 7 2, 8 1.5, 9 1, 10 1.2/;

Table a(I,J)
	1	2	3	4	5	6	7	8	9   	10
1   	1.3 	2   	1.5 	1.9 	1.1 	2.1 	1   	1.3 	1.6 	0.9
2   	1   	0.8 	0.7 	1.1 	1   	1   	1   	1.2 	1.1 	0.95
3   	1.1 	3   	2   	3   	2.4 	1.6 	1.8 	2   	2.1 	2.2
4   	1   	1.1 	1.7 	0.8 	1	1.1   	1.3 	0.8 	3   	2.2
5   	2.1 	1.7 	2.3 	2   	2   	1.7 	3   	1   	1   	1.6
6   	1.3 	1.5   	1.5 	1.9 	0.1 	1.1 	1   	1.7 	1.6 	1
7   	1.4   	1.1 	1.7 	1.1 	1   	1   	1   	1.2 	1.1 	0.95
8   	1.1 	1   	1   	1   	1.4 	1.6 	1.8 	1   	1.1 	1.2
9   	1   	1.1 	1.7 	1.8 	1	1.1   	1.4 	0.8 	1.1   	1.2
10   	1.1 	1.7 	1.3 	1   	1   	1.7 	1   	1   	1.7   	1.6
;

Table b(I,J)
	1	2	3	4	5	6	7	8	9   	10
1   	2.1 	2   	2   	1.9 	1.5 	1   	1   	1.1 	1.2 	0.7
2   	2   	2   	2.3 	2   	1.9 	3   	1.9 	2   	1.9 	2
3   	1   	1.2 	1.3 	1   	1   	1   	0.9 	0.7 	1   	1
4   	3.2 	3   	3   	3   	3   	3   	3   	3   	3.7 	2.8
5   	2.3 	3   	2.1 	2   	2   	2   	2   	2.1 	1.9 	1.8
6   	1.1 	1   	1   	1   	1.4 	1.6 	1.8 	1   	1.1 	1.2
7   	1   	1.1 	1.7 	0.8 	1	1.1   	1.3 	0.8 	1   	1.2
8   	1.1 	1.7 	1.3 	1   	1   	1.7 	1   	1   	1   	1.6
9   	1.3 	1.5   	1.5 	1.9 	0.1 	1.1 	1   	1.7 	1.6 	1
10   	1.4   	1.1 	1.7 	1.1 	1   	1   	1   	1.2 	1.1 	0.95
;
